scenario,method,test_mse,source_empirical_headroom,source_static_alpha,test_events,simulator_seed
no_headroom,R,0.25190793056288974,0.0,0.4565618254275861,1024,0
no_headroom,M,0.3011768409000405,0.0,0.4565618254275861,1024,0
no_headroom,best_single,0.25190793056288974,0.0,0.4565618254275861,1024,0
no_headroom,static_prediction_fusion,0.13178763794871795,0.0,0.4565618254275861,1024,0
no_headroom,hard_source_route,0.25190793056288974,0.0,0.4565618254275861,1024,0
no_headroom,soft_cell_control,0.13179010123266738,0.0,0.4565618254275861,1024,0
positive_headroom,R,0.24723902622983698,0.06554907820232067,0.5086927846310305,1024,0
positive_headroom,M,0.25037478007212627,0.06554907820232067,0.5086927846310305,1024,0
positive_headroom,best_single,0.25037478007212627,0.06554907820232067,0.5086927846310305,1024,0
positive_headroom,static_prediction_fusion,0.12711207871477403,0.06554907820232067,0.5086927846310305,1024,0
positive_headroom,hard_source_route,0.17848865845492118,0.06554907820232067,0.5086927846310305,1024,0
positive_headroom,soft_cell_control,0.11676040528889393,0.06554907820232067,0.5086927846310305,1024,0
fusion_without_crossing,R,0.11125000000000004,0.0,0.3249999999999998,1024,0
fusion_without_crossing,M,0.46125000000000005,0.0,0.3249999999999998,1024,0
fusion_without_crossing,best_single,0.11125000000000004,0.0,0.3249999999999998,1024,0
fusion_without_crossing,static_prediction_fusion,0.005625000000000001,0.0,0.3249999999999998,1024,0
fusion_without_crossing,hard_source_route,0.11125000000000004,0.0,0.3249999999999998,1024,0
fusion_without_crossing,soft_cell_control,1.3866695599588098e-32,0.0,0.3249999999999998,1024,0
target_reversal,R,0.2543933585926313,0.0754560549008832,0.4919167441110493,1024,0
target_reversal,M,0.24856526845024937,0.0754560549008832,0.4919167441110493,1024,0
target_reversal,best_single,0.2543933585926313,0.0754560549008832,0.4919167441110493,1024,0
target_reversal,static_prediction_fusion,0.1274892949353049,0.0754560549008832,0.4919167441110493,1024,0
target_reversal,hard_source_route,0.327892044095655,0.0754560549008832,0.4919167441110493,1024,0
target_reversal,soft_cell_control,0.16534585688936015,0.0754560549008832,0.4919167441110493,1024,0
