seed,test_windows,recordings,accuracy,macro_f1,group_balanced_accuracy,group_balanced_macro_f1
17,96,6,0.5,0.2222222222222222,0.5,0.2222222222222222
18,96,6,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666
19,96,6,0.16666666666666666,0.09523809523809523,0.16666666666666666,0.09523809523809523
